index,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
CAMIS,0.00871582,0.129919322,-0.029256339,0.434896697,-0.678862405,0.363043715,0.428852576,-0.12528642,0.027240692,0.006764307
BORO,-0.066452532,0.129535343,-0.092068293,-0.649546788,-0.47792496,-0.446822348,0.255968112,0.113302747,0.194604486,0.064237719
BUILDING,-0.068481471,0.16643793,-0.27950839,-0.295617392,0.47190649,0.397393542,0.647692677,0.010422701,-0.02925389,-0.031725885
ZIPCODE,0.14162214,0.66457213,0.057341123,0.133825569,0.137940147,0.050155035,-0.1699429,0.115350246,0.670768583,0.058566159
PHONE,0.099625841,0.686874464,0.038090187,-0.003259814,-0.009961151,-0.183798426,-0.062530301,-0.143859491,-0.673354959,-0.070164774
CUISINE.DESCRIPTION,-0.100035018,0.069049265,-0.317085929,-0.399276784,-0.248280281,0.605336519,-0.540129887,-0.011316373,-0.071055159,0.016345291
VIOLATION.CODE,0.553277113,-0.078252115,0.324280351,-0.217553531,-0.064049959,0.157541235,0.036146084,0.025141262,0.044511531,-0.708824535
CRITICAL.FLAG,-0.535900883,0.071118477,-0.369488511,0.200628826,-0.005774467,-0.182776186,-0.058452339,0.100252829,0.077418795,-0.691431317
SCORE,-0.449048643,0.052489779,0.497456431,-0.1853435,0.042340333,0.083204447,0.001477614,-0.691346257,0.147906963,-0.072325941
GRADE,-0.394815446,0.080517856,0.564019322,-0.047839875,-0.036600292,0.20675681,0.04246961,0.669765269,-0.149310433,0.021457869
