CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
41628216,OVI'S PLACE,0,2925,AVENUE H,11210,7184211640,0,11/24/14,Violations were cited in the following area(s).,10,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0,13,0,11/24/14,9/19/16,Cycle Inspection / Initial Inspection
41719914,BEIJING CHINESE RESTAURANT,1,223,EAST   14 STREET,10003,2129828966,1,11/7/14,Violations were cited in the following area(s).,6,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",1,11,0,11/7/14,9/19/16,Cycle Inspection / Re-inspection
40746560,AMF BOWLING CENTER,2,6910,34 AVENUE,11377,7186510440,0,3/6/15,Violations were cited in the following area(s).,10,''''Wash hands sign not posted at hand wash facility.,0,17,1,3/6/15,9/19/16,Cycle Inspection / Re-inspection
50012808,CALLE DAO,1,38,W 39TH ST,10018,9172927233,2,12/29/14,Violations were cited in the following area(s).,6,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",1,23,1,12/29/14,9/19/16,Cycle Inspection / Re-inspection
41218954,MARIACHI TACO,0,3428,FULTON STREET,11208,7182358880,3,10/16/14,Violations were cited in the following area(s).,4,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",1,14,1,10/16/14,9/19/16,Cycle Inspection / Re-inspection
40649463,LA BOINA ROJA STEAK HOUSE,2,8022,37 AVENUE,11372,7184246711,2,12/18/14,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,10,0,12/18/14,9/19/16,Cycle Inspection / Re-inspection
50000587,CHIPOTLE MEXICAN GRILL,1,2298,BROADWAY,10024,6464126237,4,11/6/14,Violations were cited in the following area(s).,4,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",1,11,0,11/6/14,9/19/16,Cycle Inspection / Initial Inspection
50032691,KONDO JAPANESE RESTAURANT,2,2913,BROADWAY,11106,3476171236,5,4/2/15,Violations were cited in the following area(s).,6,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",1,10,0,4/2/15,9/19/16,Pre-permit (Operational) / Initial Inspection
40380657,PETE'S CLAM STOP,0,1320,SURF AVENUE,11224,7183720302,0,4/22/15,Violations were cited in the following area(s).,10,"Single service item reused, improperly stored, dispensed; not used when required.",0,9,0,4/22/15,9/19/16,Cycle Inspection / Initial Inspection
40512868,AQUA GRILL,1,210,SPRING STREET,10012,2122740505,6,9/3/15,Violations were cited in the following area(s).,10,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0,13,0,9/3/15,9/19/16,Cycle Inspection / Initial Inspection
