index,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
1,1.920135858,0.619627641,1.12313145,0.592967053,1.122212253,0.028240756,-0.220105927,-0.468204664,-0.09590954,-0.121048756
2,-0.342714788,-1.768090592,-0.511514012,0.478996221,0.400359518,-0.692221966,0.224168538,0.084324231,0.197172774,-0.459721018
3,1.098606618,1.16217365,1.884845123,-0.900250357,0.454973989,-0.54947032,0.247077699,0.149530554,0.365407735,-0.008821397
4,-1.31543567,0.701618744,1.062632503,0.978385488,-1.076890167,0.004734194,0.958537486,-1.100170245,-1.574771414,-0.752195725
5,-0.850989253,1.029964256,0.335154803,1.196639763,1.212820116,-0.2756004,-0.55469146,0.354589683,-0.201239108,-0.078685073
6,2.00590112,1.023760589,0.639634347,-0.746354879,0.436042238,-0.754069174,0.106304585,0.124331118,0.357577576,0.045420309
7,-0.550238016,-0.163937248,-0.833499738,1.4262446,-1.069506187,-0.143525518,0.890665694,-0.455779661,-0.968015741,-0.084848678
8,-0.050081998,0.251959905,-0.757069867,0.896048517,-1.333211749,-0.088707567,0.894412107,0.153190196,1.234374069,-0.302118246
9,2.198073897,0.55247426,0.844033286,0.582972084,1.296068303,-0.158541253,-0.395761165,-0.003409874,-0.177985476,-0.076155203
10,1.317386135,-2.003414794,0.693688883,-0.608273779,0.433923531,0.098030155,-0.002608739,-0.261821314,0.113528169,-0.02046284
11,2.406606678,0.595018121,0.319352576,0.493351734,1.005029135,0.26016586,-0.683443618,0.392476495,-0.30649058,-0.019949391
12,1.969593412,0.93520457,0.855279774,1.416034557,-0.374657866,1.033974456,0.645545378,-0.637969727,-0.083940808,-0.094776475
13,1.750407053,1.092529488,0.705218649,-0.996050192,0.214137814,-0.3657253,-0.217612377,-0.209859,0.396066442,0.025451356
14,1.418187258,1.468322635,1.615011538,0.381379904,-1.422400273,0.461934279,1.097127457,1.771068639,0.013552995,0.163224703
15,-0.576770837,0.737213887,-0.760409073,0.415914767,-1.771790125,-1.221931911,1.448185627,-0.303852458,-0.275283825,0.039582466
16,1.6835537,0.175129604,0.321307058,-1.746574095,-0.510521556,-0.931868881,0.090455902,0.048276037,-0.490592023,0.038101047
17,0.479060196,1.581856576,2.655992755,-1.105949786,0.409668733,-0.314731453,-0.011723043,-0.860120575,0.932188106,-0.079968334
18,0.020864033,1.445935834,-0.485823814,-0.048395038,0.566544403,-1.117162916,0.342480345,0.067029666,0.565025175,-0.438068764
19,-1.6534151,-1.515206967,0.127284337,0.068710932,0.301429173,-0.044368708,-0.195613953,0.201485262,0.093365708,-0.007829505
20,-0.735102043,-1.671000521,-1.078149611,0.26464353,0.298355048,-0.324935656,-0.310706132,0.17808191,0.089970315,0.045561393
21,-1.878718053,-1.46721919,0.286631235,-0.122421881,0.325720312,0.10698548,-0.299090494,-0.108842838,0.155944815,-0.038335738
22,-0.845698934,-1.737175022,-0.539690749,0.459212456,0.720325933,-0.952057583,0.105398124,-0.096540296,0.22588083,-0.004336666
23,1.565821849,-1.975319416,0.291081194,-0.473767232,0.123481307,0.331517356,-0.028656185,0.117464092,0.008487967,0.030355815
24,0.120794198,0.873137419,-0.718128368,1.610605904,1.220104623,-0.805222688,-0.513020748,0.332327267,-0.139346596,-0.024911147
25,-0.027248138,1.277562016,-0.2656292,-0.08225413,0.629163838,-1.445312787,0.011933935,-0.00984586,0.534323658,-0.446008655
26,2.219825197,0.627746592,0.324915738,0.328754483,0.752435281,0.617235086,-0.890750033,0.14857062,-0.319926527,-0.034172898
27,1.82962728,0.736921779,0.839217185,-0.699014446,0.21661954,-0.814390415,0.196123823,-0.159420696,0.124580257,0.002577232
28,-0.41183419,1.784007929,-0.71406217,0.98694216,-0.821721977,-0.399158066,1.295904012,-0.328724204,0.597081808,0.041856384
29,-0.793047152,1.051948738,-0.881264169,1.110189073,0.953436915,-0.061964756,-1.179082299,-0.342098012,-0.140343199,0.407896281
30,-0.692408381,1.148707727,-1.436995986,-0.18364619,0.159847424,-0.908830132,-0.691154728,0.293885009,-0.003943081,0.558124823
31,-0.458646153,-1.399311332,-0.999614885,0.880004822,-1.396184056,0.901076213,0.422168775,-0.200835746,0.159420917,-0.423232893
32,1.087466031,-1.979043702,0.350939795,-0.35810022,0.470576046,-0.084334533,0.037051573,-0.071515137,0.035006884,0.479345653
33,0.185460443,1.664137664,-1.197888098,0.54345384,-1.495830205,0.319090766,0.240686906,0.186426916,0.381977155,-0.347970008
34,1.636999556,-2.024285335,0.513103458,-0.318895566,0.483059028,-0.168696649,0.212520223,0.164580132,0.080613155,0.020190441
35,2.317578707,0.574039091,0.627743616,0.711149538,0.996618053,0.040462333,-0.37142224,0.161397544,-0.241402882,-0.04915374
36,-0.249948953,0.934669546,-0.429132554,1.332144108,1.219182343,-0.583514048,-0.687038722,-0.191125889,-0.042507721,-0.075410638
37,-4.274017958,-1.092497725,2.500858305,-0.575056644,0.271932882,0.831451622,-0.271053961,-0.303708775,0.116280309,0.316001561
